NO.	ANG	POL	book_unit_lesson	part_of_speech
				
1	a few	kilka	BG1_U1_L1	Słownictwo ogólne
2	agree	zgadzać się	BG1_U1_L1	Słownictwo ogólne
3	also	również	BG1_U1_L1	Słownictwo ogólne
4	age	wiek	BG1_U1_L1	Słownictwo ogólne
5	but	ale	BG1_U1_L1	Słownictwo ogólne
6	chat with	rozmawiać z	BG1_U1_L1	Słownictwo ogólne
7	enjoy	lubić	BG1_U1_L1	Słownictwo ogólne
8	especially	szczególnie	BG1_U1_L1	Słownictwo ogólne
9	famous	sławny	BG1_U1_L1	Słownictwo ogólne
10	forest	las	BG1_U1_L1	Słownictwo ogólne
11	I would like	chciałbym	BG1_U1_L1	Słownictwo ogólne
12	IT worker	informatyk	BG1_U1_L1	Słownictwo ogólne
13	in the future	w przyszłości	BG1_U1_L1	Słownictwo ogólne
14	interview	wywiad	BG1_U1_L1	Słownictwo ogólne
15	introduce somebody	przedstawić kogoś	BG1_U1_L1	Słownictwo ogólne
16	lifestyle	styl życia	BG1_U1_L1	Słownictwo ogólne
17	near	blisko	BG1_U1_L1	Słownictwo ogólne
18	originally	pierwotnie,oryginalnie	BG1_U1_L1	Słownictwo ogólne
19	passion	pasja	BG1_U1_L1	Słownictwo ogólne
20	politician	polityk	BG1_U1_L1	Słownictwo ogólne
21	question	pytanie	BG1_U1_L1	Słownictwo ogólne
22	success	sukces	BG1_U1_L1	Słownictwo ogólne
23	subject	przedmiot szkolny	BG1_U1_L1	Słownictwo ogólne
24	take part	brać udział	BG1_U1_L1	Słownictwo ogólne
25	teach	uczyć kogoś	BG1_U1_L1	Słownictwo ogólne
26	technology	technologia	BG1_U1_L1	Słownictwo ogólne
27	too	również	BG1_U1_L1	Słownictwo ogólne
28	twice a week	dwa razy w tygodniu	BG1_U1_L1	Słownictwo ogólne
29	volunteer	ochotnik	BG1_U1_L1	Słownictwo ogólne
30	welcome	witaj	BG1_U1_L1	Słownictwo ogólne
31	what else?	co jeszcze	BG1_U1_L1	Słownictwo ogólne
32	active	aktywny	BG1_U1_L1	Przymiotniki
33	ambitious	ambitny	BG1_U1_L1	Przymiotniki
34	bad	zły	BG1_U1_L1	Przymiotniki
